name,planet_name,age_in_millions_of_years,distance_from_planet
Moon,Earth,4500,384400
Phobos,Mars,4600,9377
Deimos,Mars,4600,23463
Io,Jupiter,4500,421700
Europa,Jupiter,4500,671100
Ganymede,Jupiter,4500,1070400
Callisto,Jupiter,4500,1882700
Titan,Saturn,4600,1221870
Enceladus,Saturn,4600,238037
Mimas,Saturn,4600,185520
Tethys,Saturn,4600,294660
Dione,Saturn,4600,377400
Rhea,Saturn,4600,527040
Iapetus,Saturn,4600,3561300
Oberon,Uranus,4200,583520
Titania,Uranus,4200,435910
Umbriel,Uranus,4200,266300
Ariel,Uranus,4200,191020
Miranda,Uranus,4200,129390
Triton,Neptune,4200,354800
Nereid,Neptune,4200,5513400
